
Analyzing file: optset2-221-01.sdf
#AlkEthOH_c260	0.27039 RMSD(Kcal/mol)
#Div_2	3.01721 RMSD(Kcal/mol)
#Div_6	0.02777 RMSD(Kcal/mol)
#Div_9	0.00307 RMSD(Kcal/mol)
#Div_10	0.01104 RMSD(Kcal/mol)
#Div_4	0.19042 RMSD(Kcal/mol)
#Div_5	0.26556 RMSD(Kcal/mol)
#Div_3b	0.03580 RMSD(Kcal/mol)
#Div_7b	0.03507 RMSD(Kcal/mol)
#Div_8b	0.06414 RMSD(Kcal/mol)

Analyzing file: optset2-221-16.sdf
# Level of theory: MP2/aug-cc-pVTZ
#AlkEthOH_c260	0.35816 RMSD(Kcal/mol)
#Div_2	2.88642 RMSD(Kcal/mol)
#Div_6	0.08861 RMSD(Kcal/mol)
#Div_9	0.00868 RMSD(Kcal/mol)
#Div_10	0.01172 RMSD(Kcal/mol)
#Div_4	0.11982 RMSD(Kcal/mol)
#Div_5	-0.00000 RMSD(Kcal/mol)
#Div_3b	0.04736 RMSD(Kcal/mol)
#Div_7b	0.11206 RMSD(Kcal/mol)
#Div_8b	0.07812 RMSD(Kcal/mol)
